"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","26","109","8","21","17","0","17.4%","26.6%",".364",".529",".398",".514",".761",".524",".474","251","0.9","19.9","0.2","2.5","10155"
"Byron Buxton","MIN","23","93","9","18","17","4","4.3%","23.7%",".425",".429",".379",".419",".805",".513",".466","242","1.7","17.0","3.2","2.4","14161"
"Ronald Acuna Jr.","ATL","28","125","10","28","21","4","13.6%","12.8%",".375",".300",".327",".424",".702",".465",".508","191","2.2","16.6","0.8","2.2","18401"
"Vladimir Guerrero Jr.","TOR","29","124","7","21","22","1","18.5%","16.9%",".276",".386",".347",".484",".622",".467",".443","208","1.0","16.5","-2.2","1.9","19611"
"J.D. Martinez","BOS","29","126","10","25","29","0","12.7%","21.4%",".367",".389",".349",".437",".716",".480",".430","215","-2.0","14.8","-1.6","1.8","6184"
"Kris Bryant","CHC","29","124","9","23","22","1","12.1%","24.2%",".364",".348",".308",".395",".673",".444",".380","180","0.7","13.2","0.0","1.8","15429"
"Jose Ramirez","CLE","29","123","9","21","18","4","12.2%","10.6%",".317",".238",".279",".374",".596",".406",".441","166","0.5","9.8","1.3","1.6","13510"
"Trea Turner","WSN","26","110","7","14","12","7","4.5%","21.8%",".245",".352",".314",".364",".559",".397",".361","148","1.6","8.2","2.9","1.5","16252"
"Cedric Mullins II","BAL","31","135","5","16","11","3","8.9%","18.5%",".205",".366",".320",".378",".525",".386",".353","155","0.5","9.1","0.6","1.5","17929"
"Nick Castellanos","CIN","26","114","9","22","20","1","4.4%","19.3%",".324",".338",".324",".360",".648",".427",".441","166","0.9","10.4","-0.2","1.4","11737"
"Justin Turner","LAD","30","128","7","20","22","0","13.3%","21.1%",".259",".382",".333",".422",".593",".431",".395","175","-0.1","12.0","-2.3","1.4","5235"
"Xander Bogaerts","BOS","29","122","6","18","17","2","5.7%","16.4%",".243",".382",".348",".385",".591",".416",".375","171","0.7","10.7","-1.2","1.4","12161"
"Ramon Laureano","OAK","29","125","7","19","15","8","6.4%","24.8%",".263",".289",".254",".320",".518",".359",".394","140","1.6","7.4","1.5","1.4","17128"
"Bryce Harper","PHI","24","101","6","18","10","3","16.8%","20.8%",".280",".364",".317",".446",".598",".442",".527","178","0.7","10.6","-0.9","1.3","11579"
"Yuli Gurriel","HOU","29","122","4","12","20","0","13.1%","13.1%",".198",".360",".330",".418",".528",".410",".376","176","0.4","11.1","-2.4","1.3","19198"
"Jesse Winker","CIN","23","102","6","20","17","0","8.8%","21.6%",".283",".422",".359",".422",".641",".452",".397","182","0.1","10.6","-2.0","1.2","13590"
"Nick Solak","TEX","32","134","7","22","15","2","6.0%","26.9%",".202",".355",".286",".366",".487",".373",".384","146","0.6","7.8","-0.4","1.2","19294"
"J.T. Realmuto","PHI","29","102","3","12","13","2","11.8%","22.5%",".186",".361",".291",".392",".477",".376",".439","136","1.1","5.7","2.8","1.2","11739"
"Alex Verdugo","BOS","28","116","4","21","14","2","8.6%","12.9%",".206",".329",".314",".379",".520",".383",".398","148","0.1","6.5","1.1","1.2","17027"
"Isiah Kiner-Falefa","TEX","32","140","5","20","13","6","4.3%","17.9%",".171",".290",".264",".309",".434",".322",".323","111","2.2","3.9","2.6","1.2","16512"
"Jared Walsh","LAA","28","114","6","14","22","0","9.6%","21.9%",".242",".391",".333",".412",".576",".420",".361","179","-0.5","10.0","-3.1","1.1","18607"
"Nolan Arenado","STL","31","130","5","14","22","0","7.7%","14.6%",".218",".295",".277",".338",".496",".357",".340","128","0.3","4.8","1.7","1.1","9777"
"Luis Robert","CHW","25","103","1","11","8","4","6.8%","27.2%",".147",".433",".316",".359",".463",".356",".335","135","1.5","5.7","1.4","1.1","20043"
"Rafael Devers","BOS","28","119","7","16","21","1","11.8%","21.8%",".282",".310",".282",".370",".563",".395",".480","156","-1.5","6.2","0.0","1.1","17350"
"Bryan Reynolds","PIT","30","125","3","21","14","0","11.2%","21.6%",".182",".363",".291",".376",".473",".371",".381","134","0.9","6.3","-0.2","1.0","19326"
"Trevor Story","COL","31","127","4","19","20","4","9.4%","18.9%",".223",".349",".304",".370",".527",".378",".374","124","0.2","4.0","2.0","1.0","12564"
"Shohei Ohtani","LAA","29","114","9","21","22","6","4.4%","24.6%",".358",".275",".264",".316",".623",".395",".432","162","0.6","8.7","-2.6","1.0","19755"
"Max Muncy","LAD","30","128","5","18","14","0","22.7%","24.2%",".211",".271",".221",".422",".432",".374",".404","139","0.4","6.8","-1.0","1.0","13301"
"Yermin Mercedes","CHW","25","94","5","10","16","0","6.4%","16.0%",".227",".426",".386",".426",".614",".444",".395","196","-0.9","9.5","-3.1","1.0","17423"
"Yoan Moncada","CHW","27","116","3","12","16","0","11.2%","27.6%",".131",".354",".263",".362",".394",".338",".351","123","-0.3","2.8","2.8","1.0","17232"
"Nelson Cruz","MIN","28","108","8","20","21","0","6.5%","18.5%",".292",".310",".313",".361",".604",".402",".426","165","0.4","8.5","-2.7","1.0","2434"
"Joey Wendle","TBR","29","104","3","19","16","1","6.7%","18.3%",".181",".329",".287",".346",".468",".353",".318","136","-0.4","3.9","2.0","1.0","13853"
"Javier Baez","CHC","27","111","8","17","25","6","2.7%","36.9%",".284",".309",".245",".282",".529",".339",".336","113","2.2","4.1","1.6","0.9","12979"
"Luis Arraez","MIN","25","103","1","15","11","0","13.6%","10.7%",".081",".320",".291",".398",".372",".348",".396","128","1.0","4.3","1.4","0.9","18568"
"Chris Taylor","LAD","28","116","4","25","13","3","13.8%","25.0%",".211",".339",".263",".397",".474",".380",".392","143","1.2","7.5","-2.1","0.9","13757"
"Kyle Seager","SEA","32","132","5","10","22","1","6.1%","20.5%",".217",".267",".242",".295",".458",".323",".378","115","0.5","2.8","1.6","0.9","9785"
"Salvador Perez","KCR","29","122","7","16","18","0","3.3%","27.0%",".243",".320",".270",".311",".513",".354",".407","131","0.2","4.5","0.1","0.9","7304"
"Mark Canha","OAK","31","138","4","26","8","5","12.3%","20.3%",".150",".296",".248",".384",".398",".354",".375","137","0.9","6.8","-2.7","0.9","11445"
"Tommy Edman","STL","31","138","2","15","6","4","6.5%","10.1%",".126",".324",".299",".355",".425",".343",".330","118","1.7","4.9","-0.7","0.9","19470"
"Nate Lowe","TEX","32","136","6","14","24","4","11.0%","27.2%",".192",".364",".283",".368",".475",".368",".378","143","-0.7","6.0","-2.2","0.9","19566"
"Miguel Rojas","MIA","28","110","0","17","10","3","10.9%","11.8%",".125",".313",".271",".364",".396",".338",".320","117","0.5","2.8","2.0","0.9","7802"
"Michael Brantley","HOU","26","107","3","19","7","0","3.7%","13.1%",".206",".353",".324",".355",".529",".380",".381","155","-0.3","6.5","-1.8","0.9","4106"
"Jed Lowrie","OAK","30","121","3","16","22","0","9.9%","16.5%",".165",".314",".275",".347",".440",".345",".398","131","0.8","5.1","-0.9","0.8","4418"
